Artist,Listeners
Michelle,0
Udo Jürgens,0
Wolfgang Petry,0
Matthias Reim,0
Roland Kaiser,0
Heino,0
Peggy March,0
Howard Carpendale,0
Juliane Werding,0
Tino Martin,0
Marianne Rosenberg,0
Beatrice Egli,0
Vicky Leandros,0
Vanessa Mai,0
Jürgen Drews,0
Hein Simons,0
Leonard,0
Nino de Angelo,0
G.G. Anderson,0
Michael Holm,0
PAT,0
Drafi Deutscher,0
Christian Anders,0
Rocco Granata,0
Ireen Sheer,0
Marco Schuitmaker,0
Die Zipfelbuben,0
Siw Malmkvist,0
Olaf Henning,0
Costa Cordalis,0
Franz,0
Rex Gildo,0
Chris Roberts,0
Ingo ohne Flamingo,0
Manuela,0
Gitti Und Erika,0
Cora,0
Chris Howland,0
Ammar,0
Amigos,0
Katja Ebstein,0
Mary Roos,0
Daliah Lavi,0
Lale Andersen,0
Vico Torriani,0
Hans Albers,0
Klaus & Klaus,0
Bata Illic,0
Frank van Etten,0
Bernd Clüver,0
